date,source,region,indicator,value,unit,reference_year
2026-05-10,disease.sh,Global,global_total_cases,704753890.0,count,2025
2026-05-10,disease.sh,Global,global_total_deaths,7010681.0,count,2025
2026-05-10,disease.sh,Global,global_active_cases,22123398.0,count,2025
2026-05-10,disease.sh,Global,global_recovered,675619811.0,count,2025
2026-05-10,disease.sh,Global,global_critical_cases,34794.0,count,2025
2026-05-10,disease.sh,India,total_cases,45035393.0,count,2025
2026-05-10,disease.sh,India,total_deaths,533570.0,count,2025
2026-05-10,disease.sh,India,active_cases,44501823.0,count,2025
2026-05-10,disease.sh,India,recovered,0.0,count,2025
2026-05-10,disease.sh,India,cases_per_million,32016.0,count,2025
2026-05-10,disease.sh,India,deaths_per_million,379.0,count,2025
2026-05-10,disease.sh,India,tests_per_million,665334.0,count,2025
2026-05-10,disease.sh,India,critical_cases,0.0,count,2025
2026-05-10,disease.sh,USA,total_cases,111820082.0,count,2025
2026-05-10,disease.sh,USA,total_deaths,1219487.0,count,2025
2026-05-10,disease.sh,USA,active_cases,786167.0,count,2025
2026-05-10,disease.sh,USA,cases_per_million,333985.0,count,2025
2026-05-10,disease.sh,India,total_cases,45035393.0,count,2025
2026-05-10,disease.sh,India,total_deaths,533570.0,count,2025
2026-05-10,disease.sh,India,active_cases,44501823.0,count,2025
2026-05-10,disease.sh,India,cases_per_million,32016.0,count,2025
2026-05-10,disease.sh,France,total_cases,40138560.0,count,2025
2026-05-10,disease.sh,France,total_deaths,167642.0,count,2025
2026-05-10,disease.sh,France,active_cases,0.0,count,2025
2026-05-10,disease.sh,France,cases_per_million,612013.0,count,2025
2026-05-10,disease.sh,Germany,total_cases,38828995.0,count,2025
2026-05-10,disease.sh,Germany,total_deaths,183027.0,count,2025
2026-05-10,disease.sh,Germany,active_cases,405368.0,count,2025
2026-05-10,disease.sh,Germany,cases_per_million,462891.0,count,2025
2026-05-10,disease.sh,Brazil,total_cases,38743918.0,count,2025
2026-05-10,disease.sh,Brazil,total_deaths,711380.0,count,2025
2026-05-10,disease.sh,Brazil,active_cases,1783377.0,count,2025
2026-05-10,disease.sh,Brazil,cases_per_million,179908.0,count,2025
2026-05-10,disease.sh,S. Korea,total_cases,34571873.0,count,2025
2026-05-10,disease.sh,S. Korea,total_deaths,35934.0,count,2025
2026-05-10,disease.sh,S. Korea,active_cases,0.0,count,2025
2026-05-10,disease.sh,S. Korea,cases_per_million,673523.0,count,2025
2026-05-10,disease.sh,Japan,total_cases,33803572.0,count,2025
2026-05-10,disease.sh,Japan,total_deaths,74694.0,count,2025
2026-05-10,disease.sh,Japan,active_cases,33728878.0,count,2025
2026-05-10,disease.sh,Japan,cases_per_million,269169.0,count,2025
2026-05-10,disease.sh,Italy,total_cases,26723249.0,count,2025
2026-05-10,disease.sh,Italy,total_deaths,196487.0,count,2025
2026-05-10,disease.sh,Italy,active_cases,165544.0,count,2025
2026-05-10,disease.sh,Italy,cases_per_million,443445.0,count,2025
2026-05-10,disease.sh,UK,total_cases,24910387.0,count,2025
2026-05-10,disease.sh,UK,total_deaths,232112.0,count,2025
2026-05-10,disease.sh,UK,active_cases,0.0,count,2025
2026-05-10,disease.sh,UK,cases_per_million,363666.0,count,2025
