date,source,region,indicator,value,unit,reference_year,data_type
2026-05-18,WHO GHO,India,life_expectancy_both,64.18,WHO standard,2005,historical
2026-05-18,WHO GHO,India,life_expectancy_both,67.33,WHO standard,2006,historical
2026-05-18,WHO GHO,India,life_expectancy_both,67.67,WHO standard,2007,historical
2026-05-18,WHO GHO,India,life_expectancy_both,68.13,WHO standard,2008,historical
2026-05-18,WHO GHO,India,life_expectancy_both,68.81,WHO standard,2009,historical
2026-05-18,WHO GHO,India,life_expectancy_both,65.77,WHO standard,2010,historical
2026-05-18,WHO GHO,India,life_expectancy_both,69.76,WHO standard,2011,historical
2026-05-18,WHO GHO,India,life_expectancy_both,68.23,WHO standard,2012,historical
2026-05-18,WHO GHO,India,life_expectancy_both,70.2,WHO standard,2013,historical
2026-05-18,WHO GHO,India,life_expectancy_both,67.35,WHO standard,2014,historical
2026-05-18,WHO GHO,India,life_expectancy_both,69.38,WHO standard,2015,historical
2026-05-18,WHO GHO,China,life_expectancy_both,72.44,WHO standard,2005,historical
2026-05-18,WHO GHO,China,life_expectancy_both,73.29,WHO standard,2006,historical
2026-05-18,WHO GHO,China,life_expectancy_both,73.84,WHO standard,2007,historical
2026-05-18,WHO GHO,China,life_expectancy_both,74.0,WHO standard,2008,historical
2026-05-18,WHO GHO,China,life_expectancy_both,71.74,WHO standard,2009,historical
2026-05-18,WHO GHO,China,life_expectancy_both,74.65,WHO standard,2010,historical
2026-05-18,WHO GHO,China,life_expectancy_both,75.04,WHO standard,2011,historical
2026-05-18,WHO GHO,China,life_expectancy_both,72.7,WHO standard,2012,historical
2026-05-18,WHO GHO,China,life_expectancy_both,75.84,WHO standard,2013,historical
2026-05-18,WHO GHO,China,life_expectancy_both,79.41,WHO standard,2014,historical
2026-05-18,WHO GHO,China,life_expectancy_both,76.51,WHO standard,2015,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,75.01,WHO standard,2005,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,77.68,WHO standard,2006,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,77.94,WHO standard,2007,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,80.28,WHO standard,2008,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,78.42,WHO standard,2009,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,78.61,WHO standard,2010,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,78.65,WHO standard,2011,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,78.77,WHO standard,2012,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,76.61,WHO standard,2013,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,76.67,WHO standard,2014,historical
2026-05-18,WHO GHO,USA,life_expectancy_both,76.48,WHO standard,2015,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,76.62,WHO standard,2005,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,73.33,WHO standard,2006,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,73.58,WHO standard,2007,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,77.2,WHO standard,2008,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,73.84,WHO standard,2009,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,77.43,WHO standard,2010,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,74.02,WHO standard,2011,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,77.78,WHO standard,2012,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,77.92,WHO standard,2013,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,74.64,WHO standard,2014,historical
2026-05-18,WHO GHO,Brazil,life_expectancy_both,74.71,WHO standard,2015,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,76.81,WHO standard,2005,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,77.12,WHO standard,2006,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,81.4,WHO standard,2007,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,77.55,WHO standard,2008,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,80.03,WHO standard,2009,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,78.34,WHO standard,2010,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,80.64,WHO standard,2011,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,82.34,WHO standard,2012,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,80.69,WHO standard,2013,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,82.65,WHO standard,2014,historical
2026-05-18,WHO GHO,UK,life_expectancy_both,78.93,WHO standard,2015,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,62.53,WHO standard,2005,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,63.07,WHO standard,2006,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,64.16,WHO standard,2007,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,64.47,WHO standard,2008,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,63.92,WHO standard,2009,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,63.32,WHO standard,2010,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,65.37,WHO standard,2011,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,65.66,WHO standard,2012,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,65.11,WHO standard,2013,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,66.23,WHO standard,2014,historical
2026-05-18,WHO GHO,Pakistan,life_expectancy_both,66.54,WHO standard,2015,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,69.87,WHO standard,2005,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,68.09,WHO standard,2006,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,68.43,WHO standard,2007,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,69.03,WHO standard,2008,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,69.6,WHO standard,2009,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,71.87,WHO standard,2010,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,71.08,WHO standard,2011,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,72.09,WHO standard,2012,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,71.51,WHO standard,2013,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,74.01,WHO standard,2014,historical
2026-05-18,WHO GHO,Bangladesh,life_expectancy_both,72.07,WHO standard,2015,historical
2026-05-18,WHO GHO,Nigeria,life_expectancy_both,58.23,WHO standard,2005,historical
2026-05-18,WHO GHO,Nigeria,life_expectancy_both,57.55,WHO standard,2006,historical
2026-05-18,WHO GHO,Nigeria,life_expectancy_both,56.88,WHO standard,2007,historical
2026-05-18,WHO GHO,Nigeria,life_expectancy_both,60.11,WHO standard,2008,historical
2026-05-18,WHO GHO,Nigeria,life_expectancy_both,57.95,WHO standard,2009,historical
